case_id,round,company,metric,status,base_year,base_value,target_year,target_value,unit,listed_rate_pct,calculated_rate_pct,rate_diff_pt,source_method,page,year_status,issues,raw_support,raw
s1_outline_50,1次,株式会社松尾製作所,労働生産性,PDF表セル・率検算確認済み,2026,657,2029,793,万円/人,6.5,6.4721,0.0279,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 657 | 793
(年平均上昇率+6.5%)"
s1_outline_50,1次,株式会社松尾製作所,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,515,2029,563,万円/人,3,3.015,0.015,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 515 | 563
(年平均上昇率+3.0%)"
s1_outline_50,1次,株式会社松尾製作所,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2026,,2029,,万円/人,3,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) - -
(年平均上昇率+3.0%)"
s1_outline_50,1次,株式会社松尾製作所,補助事業に係る従業員数,PDF表セル確認済み,2026,1390,2029,1401,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 1390 | 1401"
s1_outline_51,1次,株式会社西部技研,労働生産性,PDF表セル・率検算確認済み,2026,1340,2029,1587,万円/人,5.81,5.8012,0.0088,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 1,340 | 1,587
(年平均上昇率+5.81%)"
s1_outline_51,1次,株式会社西部技研,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,650,2029,763,万円/人,5.51,5.4882,0.0218,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 650 | 763
(年平均上昇率+5.51%)"
s1_outline_51,1次,株式会社西部技研,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2026,,2029,,万円/人,5,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) - -
(年平均上昇率+5.00%)"
s1_outline_51,1次,株式会社西部技研,補助事業に係る従業員数,PDF表セル確認済み,2026,254,2029,276,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 254 | 276"
s1_outline_52,1次,株式会社平島,労働生産性,PDF表セル・率検算確認済み,2027,1291,2030,1855,万円/人,12.8,12.8425,0.0425,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 1,291万円/人 | 1,855万円/人
(年平均上昇率+12.8%)"
s1_outline_52,1次,株式会社平島,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2027,411,2030,470,万円/人,4.6,4.5728,0.0272,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 411万円/人 | 470万円
(年平均上昇率+4.6%)"
s1_outline_52,1次,株式会社平島,役員1人当たり給与支給総額,PDFで数値なし・ハイフン,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_52,1次,株式会社平島,補助事業に係る従業員数,PDF表セル確認済み,2027,60,2030,73,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 60人 | 73人"
s1_outline_53,1次,マルコーフーズ株式会社,労働生産性,PDF表セル・率検算確認済み,2026,425.5,2029,618.6,万円/人,13.29,13.2844,0.0056,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 425.5 | 618.6
(年平均上昇率+13.29%)"
s1_outline_53,1次,マルコーフーズ株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,343.3,2029,409.3,万円/人,6.04,6.0366,0.0034,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 343.3 | 409.3
(年平均上昇率+6.04%)"
s1_outline_53,1次,マルコーフーズ株式会社,役員1人当たり給与支給総額,PDFで数値なし・ハイフン,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_53,1次,マルコーフーズ株式会社,補助事業に係る従業員数,PDF表セル確認済み,2026,197,2029,189,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 197 | 189"
s1_outline_55,1次,株式会社コーヨークリエイト,労働生産性,PDF表セル・率検算確認済み,2025,5326,2028,10537,万円/人,25.5,25.5371,0.0371,,2,暦年確認,,true,"労働生産性 10,537 5,326 （年平均上昇率＋25.5%) （単位：万円／人） 目標値"
s1_outline_55,1次,株式会社コーヨークリエイト,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2025,597,2028,653,万円/人,3,3.0338,0.0338,case_representative_from_multi_entity,2,暦年確認,,true,従業員1人あたり給与支給総額 653 597 （単位：万円／人） (年平均上昇率＋3.0%) ゜ 役員 1 人あたり給与支給総額 0 （単位：万円／人）
s1_outline_55,1次,株式会社コーヨークリエイト,役員1人当たり給与支給総額,PDF記載なし又は抽出不能,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_55,1次,株式会社コーヨークリエイト,補助事業に係る従業員数,PDF記載なし又は抽出不能,,,,,,,,,,,年なし,数値2点なし,false,
