case_id,round,company,series_id,series_label,point_type,period_label,year_before_correction,year_after_correction,year_correction_method,year,month_before_correction,month_after_correction,month,sales_oku_yen,page,pdf_url
s2_outline_108,3次,株式会社丸杉,s2_outline_108_sales_01,会社全体の売上成長目標,target,2030年,2030,2030,existing_normalized_year,2030,,,,1693,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_108.pdf
s2_outline_108,3次,株式会社丸杉,s2_outline_108_sales_01,会社全体の売上成長目標,baseline,,,,missing,,,,,836,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_108.pdf
s2_outline_11,3次,たまご＆ファーマーズ株式会社,s2_outline_11_sales_01,会社全体,baseline,2025年1月期,2025,2025,existing_normalized_year,2025,1,1,1,442,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_11.pdf
s2_outline_11,3次,たまご＆ファーマーズ株式会社,s2_outline_11_sales_01,会社全体,target,2031年1月期,2031,2031,existing_normalized_year,2031,1,1,1,767,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_11.pdf
s2_outline_116,4次,奥伊吹観光株式会社,s2_outline_116_sales_02,冬期事業売上,baseline,2028年9月期,2028,2028,existing_normalized_year,2028,9,9,9,4.248,3,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf
s2_outline_116,4次,奥伊吹観光株式会社,s2_outline_116_sales_02,冬期事業売上,intermediate,2029年9月期,2029,2029,explicit_four_digit_year,2029,,,,4.5135,3,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf
s2_outline_116,4次,奥伊吹観光株式会社,s2_outline_116_sales_02,冬期事業売上,target,2030年9月期,2030,2030,existing_normalized_year,2030,9,9,9,4.6728,3,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf
s2_outline_116,4次,奥伊吹観光株式会社,s2_outline_116_sales_03,夏期事業売上,baseline,2028年9月期,2028,2028,existing_normalized_year,2028,9,9,9,2.5488,3,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf
s2_outline_116,4次,奥伊吹観光株式会社,s2_outline_116_sales_03,夏期事業売上,intermediate,2029年9月期,2029,2029,explicit_four_digit_year,2029,,,,2.5488,3,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf
s2_outline_116,4次,奥伊吹観光株式会社,s2_outline_116_sales_03,夏期事業売上,target,2030年9月期,2030,2030,existing_normalized_year,2030,9,9,9,2.5488,3,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf
s2_outline_119,4次,株式会社群馬コイケ,s2_outline_119_sales_01,会社全体の売上成長目標,baseline,2024年度,2024,2024,existing_normalized_year,2024,,,,22.26,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_119.pdf
s2_outline_119,4次,株式会社群馬コイケ,s2_outline_119_sales_01,会社全体の売上成長目標,target,2030年度,2030,2030,existing_normalized_year,2030,,,,51.96,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_119.pdf
s2_outline_125,4次,株式会社タンケンシールセーコウ,s2_outline_125_sales_01,会社全体,baseline,2025年3月期,2025,2025,existing_normalized_year,2025,3,3,3,63.79,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_125.pdf
s2_outline_125,4次,株式会社タンケンシールセーコウ,s2_outline_125_sales_01,会社全体,target,2031年3月期,2031,2031,existing_normalized_year,2031,3,3,3,128.22,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_125.pdf
s2_outline_127,4次,株式会社キィポーション,s2_outline_127_sales_01,会社全体,target,2030年6月期,2030,2030,existing_normalized_year,2030,6,6,6,96.03625177,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_127.pdf
s2_outline_13,3次,フジセイコー株式会社,s2_outline_13_sales_01,会社全体,baseline,2023年度,2023,2023,existing_normalized_year,2023,,,,11.8,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_13.pdf
s2_outline_13,3次,フジセイコー株式会社,s2_outline_13_sales_01,会社全体,target,2029年度,2029,2029,existing_normalized_year,2029,,,,35,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_13.pdf
s2_outline_130,4次,株式会社ピカソナチュラルズ,s2_outline_130_sales_01,ピカソナチュラルズ,target,2030年6月期,2030,2030,existing_normalized_year,2030,6,6,6,160,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_130.pdf
s2_outline_130,4次,株式会社ピカソナチュラルズ,s2_outline_130_sales_02,グループ全体,target,2030年6月期,2030,2030,existing_normalized_year,2030,6,6,6,371,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_130.pdf
s2_outline_132,4次,株式会社コハラ,s2_outline_132_sales_01,会社全体,target,2030年度,2030,2030,existing_normalized_year,2030,,,,136.8,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_132.pdf
