case_id,round,company,page,page_role,source_method,confidence,baseline_year,baseline_sales_oku,target_year,target_sales_oku,increase_oku,increase_target_year,stated_rate_pct,stated_rate_target_year,stated_rate_type,stated_cumulative_growth_pct,calculated_cagr_pct,reported_cagr_pct,multiple,validation_status,selection_score,raw,pdf_url
s2_outline_108,3次,株式会社丸杉,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,1693,857,2030,49.4,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,143,"会社全体の売上成長目標（～2030年）
• 売上高目標 1,693億円
• 会社全体の売上高成長率 49.4％
• 会社全体の売上高増加額 857億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_108.pdf
s2_outline_109,3次,株式会社ヤマイシ,1,長期成長ビジョン,sales_box_rectangle,high,,,2031,,123,2031,10,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（～31年）
• 売上高成長率10％
• 売上高増加額123億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_109.pdf
s2_outline_11,3次,たまご＆ファーマーズ株式会社,1,長期成長ビジョン,sales_box_rectangle,high,2025,,2031,,324,2031,9.6,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（直近決算～2031年）
• 売上高成長率9.6％
• 売上高増加額324億円
（25年1月期442億/31年1月期767億）",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_11.pdf
s2_outline_110,3次,学校法人花沢学園,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,14,2030,110,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"会社全体の売上成⾧目標（～30年）
• 売上高成⾧率110％
• 売上高増加額14億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_110.pdf
s2_outline_12,3次,株式会社フルサワ,1,長期成長ビジョン,sales_box_rectangle,high,,,,,40,,208,,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（2024-2029/12期）
• 売上高成長率：208％
• 売上高増加額：+40億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_12.pdf
s2_outline_123,3次,東洋ケアサービス株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,80,2030,30.3,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（〜30年）
• 売上高成長率30.3％
• 売上高増加額80億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_123.pdf
s2_outline_128,3次,株式会社タカラ倉庫運輸サービス,1,長期成長ビジョン,sales_box_rectangle,high,2024,,2031,,73.5,2031,215.6,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"売上成⾧目標［コンソーシアム］
会社全体の売上成⾧目標（2024年8月期／2031年8月期）
・売上高成⾧率 215.6％
・売上高増加額 73.5億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_128.pdf
s2_outline_13,3次,フジセイコー株式会社,1,長期成長ビジョン,sales_box_rectangle,high,2023,23,2029,11.8,35,2029,195,2029,売上高成長率（定義未確定）,,-10.52692530891961,,,増加額不整合 / 成長率定義要確認,143,"売上成長目標
• 2029年度までに会社全体の売上高成長率195％
2029年度までに会社全体の売上高増加額23億円
2023年度売上高11.8億円 → 2029年度売上高35億円
•",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_13.pdf
s2_outline_14,3次,スギムラ化学工業株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2031,259,114,2031,178.6,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,143,"会社全体の売上成長目標（～2031年）
• 売上高成長率178.6％
• 売上高増加額114億円（2031年売上高：259億円）",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_14.pdf
s2_outline_140,3次,都吹株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,,,45,,16.89,,CAGR明記,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標
※基準年度～事業化報告3年
• 年平均売上高成長率 16.89％
• 売上高増加額 45億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_140.pdf
