case_id,round,company,is_clean,current9_observed_n,current9_below_n,current9_below_share,current9_flag,directional8_no13_observed_n,directional8_no13_below_n,directional8_no13_below_share,directional8_no13_flag,without_no8_observed_n,without_no8_below_n,without_no8_below_share,without_no8_flag,without_no14_observed_n,without_no14_below_n,without_no14_below_share,without_no14_flag,old7_no8_no14_observed_n,old7_no8_no14_below_n,old7_no8_no14_below_share,old7_no8_no14_flag,no8_no13_no14_observed_n,no8_no13_no14_below_n,no8_no13_no14_below_share,no8_no13_no14_flag,direct_or_near_direct5_observed_n,direct_or_near_direct5_below_n,direct_or_near_direct5_below_share,direct_or_near_direct5_flag,direct_comparable3_observed_n,direct_comparable3_below_n,direct_comparable3_below_share,direct_comparable3_flag
s1_outline_162,2次,信光陸運株式会社,True,9,4.0,0.4444444444444444,False,8,4.0,0.5,False,8,3.0,0.375,False,8,3.0,0.375,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,3,1.0,0.3333333333333333,False
s2_outline_52,3次,株式会社GYXUS,True,9,2.0,0.2222222222222222,False,8,2.0,0.25,False,8,2.0,0.25,False,8,1.0,0.125,False,7,1.0,0.14285714285714285,False,6,1.0,0.16666666666666666,False,5,0.0,0.0,False,3,0.0,0.0,False
s2_outline_91,3次,ＫＩＤＯ　ＰＡＣＫＡＧＩＮＧ株式会社,False,9,4.0,0.4444444444444444,False,8,3.0,0.375,False,8,4.0,0.5,False,8,3.0,0.375,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,3,2.0,0.6666666666666666,True
s2_outline_161,4次,株式会社デイリーエッグ,False,9,4.0,0.4444444444444444,False,8,3.0,0.375,False,8,4.0,0.5,False,8,3.0,0.375,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,3,0.0,0.0,False
s1_outline_50,1次,株式会社松尾製作所,True,8,5.0,0.625,True,8,5.0,0.625,True,7,5.0,0.7142857142857143,True,7,4.0,0.5714285714285714,False,6,4.0,0.6666666666666666,True,6,4.0,0.6666666666666666,True,5,4.0,0.8,True,3,3.0,1.0,True
s2_outline_65,3次,ハビックス株式会社,True,8,3.0,0.375,False,8,3.0,0.375,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,6,3.0,0.5,False,5,3.0,0.6,True,3,3.0,1.0,True
s2_outline_72,3次,ときわ製作所株式会社,True,8,5.0,0.625,True,8,5.0,0.625,True,7,4.0,0.5714285714285714,False,7,5.0,0.7142857142857143,True,6,4.0,0.6666666666666666,True,6,4.0,0.6666666666666666,True,5,3.0,0.6,True,3,2.0,0.6666666666666666,True
s2_outline_140,3次,都吹株式会社,True,8,3.0,0.375,False,8,3.0,0.375,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,1.0,0.16666666666666666,False,6,1.0,0.16666666666666666,False,5,1.0,0.2,False,3,1.0,0.3333333333333333,False
s2_outline_200,4次,有限会社ワンプラスワン,True,8,4.0,0.5,False,8,4.0,0.5,False,7,4.0,0.5714285714285714,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,6,3.0,0.5,False,5,3.0,0.6,True,3,2.0,0.6666666666666666,True
s2_outline_19,3次,株式会社高木製作所,False,5,3.0,0.6,True,5,3.0,0.6,True,4,3.0,0.75,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,False,3,2.0,0.6666666666666666,False,2,1.0,0.5,False,2,1.0,0.5,False
s1_outline_36,1次,株式会社廣澤精機製作所,True,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,2,1.0,0.5,False
s1_outline_97,1次,フクシマガリレイ株式会社,False,2,1.0,0.5,False,2,1.0,0.5,False,2,1.0,0.5,False,2,1.0,0.5,False,2,1.0,0.5,False,2,1.0,0.5,False,2,1.0,0.5,False,2,1.0,0.5,False
s1_outline_83,1次,株式会社ヒサダ,False,4,0.0,0.0,False,4,0.0,0.0,False,4,0.0,0.0,False,4,0.0,0.0,False,4,0.0,0.0,False,4,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False
s2_outline_185,3次,三日月興業株式会社,True,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False,2,0.0,0.0,False
