case_id,round,company,merge_key,has_financial_confirmation,financial_institution,official_list_url,core28
s2_outline_176,4次,北アルプス飲料株式会社,4次|北アルプス飲料株式会社,True,静岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_210,4次,南島酒販株式会社,4次|南島酒販株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_141,4次,古川電気工業株式会社,4次|古川電気工業株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_189,4次,吉田海運ロジソリューションズ株式会社,4次|吉田海運ロジソリューションズ株式会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_116,4次,奥伊吹観光株式会社,4次|奥伊吹観光株式会社,True,滋賀銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_220,4次,富田薬品株式会社,4次|富田薬品株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_196,4次,岩手雪運株式会社,4次|岩手雪運株式会社,True,岩手銀行､商工組合中央金庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_204,4次,新日本電工株式会社,4次|新日本電工株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_199,4次,日本毛織株式会社,4次|日本毛織株式会社,False,,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_226,4次,日本海精錬株式会社,4次|日本海精錬株式会社,False,,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_184,4次,日電精密工業株式会社,4次|日電精密工業株式会社,True,大垣共立銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_168,4次,明和工業株式会社,4次|明和工業株式会社,True,日本政策金融公庫､山陰合同銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_200,4次,有限会社ワンプラスワン,4次|有限会社ワンプラスワン,True,商工組合中央金庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_136,4次,木本製菓株式会社,4次|木本製菓株式会社,True,城北信用金庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_122,4次,杉プラスチック工業株式会社,4次|杉プラスチック工業株式会社,True,福岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_202,4次,東海デキストリン株式会社,4次|東海デキストリン株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_222,4次,株式会社 日本橋冷凍手島商店,4次|株式会社日本橋冷凍手島商店,True,りそな銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_159,4次,株式会社　ファーストライン,4次|株式会社ファーストライン,True,紀陽銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_137,4次,株式会社　博多屋,4次|株式会社博多屋,True,日本政策金融公庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_147,4次,株式会社　進和,4次|株式会社進和,True,りそな銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_230,4次,株式会社アイ・グラン・ソリューション,4次|株式会社アイ・グラン・ソリューション,True,広島銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_113,4次,株式会社アダチ,4次|株式会社アダチ,True,阿波銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_218,4次,株式会社エム・ケー・ケー,4次|株式会社エム・ケー・ケー,True,長野県信用組合,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_139,4次,株式会社エルス,4次|株式会社エルス,True,福岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_167,4次,株式会社カネヒロ,4次|株式会社カネヒロ,True,りそな銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_127,4次,株式会社キィポーション,4次|株式会社キィポーション,True,岐阜信用金庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_120,4次,株式会社クボテック,4次|株式会社クボテック,True,横浜銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_179,4次,株式会社クラスコ,4次|株式会社クラスコ,True,北陸銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_115,4次,株式会社コスモス食品,4次|株式会社コスモス食品,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_132,4次,株式会社コハラ,4次|株式会社コハラ,True,静岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_149,4次,株式会社サン海苔,4次|株式会社サン海苔,True,九州信用漁業協同組合連合会,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_145,4次,株式会社シャノワール,4次|株式会社シャノワール,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
