case_id,company,round_original,application_round,round_changed,old_core29,new_core28,membership_change
s2_outline_143,株式会社ライズクリエイション,4次,4次,False,False,False,unchanged
s2_outline_167,株式会社カネヒロ,4次,4次,False,False,False,unchanged
s2_outline_193,ソントン食品株式会社,4次,4次,False,False,False,unchanged
s2_outline_217,院庄林業株式会社,4次,4次,False,False,False,unchanged
s2_outline_227,株式会社トノックス,4次,4次,False,False,False,unchanged
s1_outline__204,メック株式会社,2次,2次,False,False,False,unchanged
s1_outline_89,京西テクノス株式会社,1次,1次,False,False,False,unchanged
s1_outline_113,トーアス株式会社,1次,2次,True,False,False,unchanged
s1_outline_118,クリエイトワン株式会社,1次,2次,True,False,False,unchanged
s1_outline_146,アオイ電子株式会社,1次,1次,False,False,False,unchanged
s1_outline_147,株式会社ｂｕｄ梱包出荷サポート,1次,1次,False,False,False,unchanged
s1_outline_177,さいほく鉄工株式会社,1次,2次,True,False,False,unchanged
s2_outline_17,日生流通運輸倉庫株式会社,3次,3次,False,False,False,unchanged
s2_outline_81,東亜薬品株式会社,3次,3次,False,False,False,unchanged
s2_outline_108,株式会社丸杉,3次,3次,False,False,False,unchanged
s1_outline__198,ユニコム株式会社,2次,2次,False,False,False,unchanged
s1_outline_79,スーパー工業株式会社,1次,1次,False,False,False,unchanged
s2_outline_26,株式会社ティーケーシン,3次,3次,False,False,False,unchanged
s2_outline_46,カンケンテクノ株式会社,3次,3次,False,False,False,unchanged
s2_outline_60,株式会社トッカコーポレーション,3次,3次,False,False,False,unchanged
s2_outline_120,株式会社クボテック,4次,4次,False,False,False,unchanged
s2_outline_132,株式会社コハラ,4次,4次,False,False,False,unchanged
s2_outline_181,株式会社手原産業倉庫,4次,4次,False,False,False,unchanged
s1_outline_86,グローバル・テック株式会社,1次,1次,False,False,False,unchanged
s1_outline__201,株式会社イートアンドフーズ,2次,2次,False,False,False,unchanged
s1_outline__183,スズキハイテック株式会社,2次,2次,False,False,False,unchanged
s1_outline__202,アライドコーヒーロースターズ株式会社,2次,2次,False,False,False,unchanged
s1_outline_12,株式会社松岡,1次,1次,False,False,False,unchanged
s1_outline_61,三恵工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_69,NAX JAPAN株式会社,1次,1次,False,False,False,unchanged
s1_outline_91,矢田工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_106,株式会社シーエル,1次,1次,False,False,False,unchanged
s1_outline_112,株式会社八芳園,1次,2次,True,False,False,unchanged
s1_outline_121,土佐鶴酒造株式会社,1次,2次,True,False,False,unchanged
s1_outline_128,株式会社ただおザウルス,1次,2次,True,False,False,unchanged
s1_outline_130,小林酒造株式会社,1次,2次,True,False,False,unchanged
s1_outline_134,株式会社コンメックス,1次,2次,True,False,False,unchanged
s1_outline_137,総武機械株式会社,1次,2次,True,False,False,unchanged
s1_outline_157,ハマダコンフェクト株式会社,1次,2次,True,False,False,unchanged
s1_outline_158,平和食品工業株式会社,1次,2次,True,False,False,unchanged
s1_outline_174,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,1次,2次,True,False,False,unchanged
s2_outline_1,株式会社角藤,3次,3次,False,False,False,unchanged
s2_outline_11,たまご＆ファーマーズ株式会社,3次,3次,False,False,False,unchanged
s2_outline_13,フジセイコー株式会社,3次,3次,False,False,False,unchanged
s2_outline_45,株式会社田中食品興業所,3次,3次,False,False,False,unchanged
s2_outline_58,巴工業株式会社,3次,3次,False,False,False,unchanged
s2_outline_66,トクセン工業株式会社,3次,3次,False,False,False,unchanged
s2_outline_84,株式会社ジョヴィ,3次,3次,False,False,False,unchanged
s2_outline_88,モルツウェル株式会社,3次,3次,False,False,False,unchanged
s2_outline_104,アイサービス株式会社,3次,3次,False,False,False,unchanged
s2_outline_150,株式会社玉子屋,4次,4次,False,False,False,unchanged
s2_outline_199,日本毛織株式会社,4次,4次,False,False,False,unchanged
s2_outline_229,オーディエー株式会社,3次,3次,False,False,False,unchanged
s1_outline__182,埼玉機器株式会社,2次,2次,False,False,False,unchanged
s1_outline__188,山城金属株式会社,2次,1次,True,False,False,unchanged
s1_outline__205,ヤマシンスチール株式会社,2次,2次,False,False,False,unchanged
s1_outline_19,株式会社XEN GROUP,1次,1次,False,False,False,unchanged
s1_outline_42,株式会社山田ドビー,1次,1次,False,False,False,unchanged
s2_outline_9,株式会社マルト水谷,3次,3次,False,False,False,unchanged
s2_outline_37,ノーラエンジニアリング株式会社,3次,3次,False,False,False,unchanged
s2_outline_49,白鷺特殊鋼株式会社,3次,3次,False,False,False,unchanged
s2_outline_61,株式会社川金コアテック,3次,3次,False,False,False,unchanged
s2_outline_73,株式会社ライジング,3次,3次,False,False,False,unchanged
s2_outline_80,株式会社レイズ,3次,3次,False,False,False,unchanged
s2_outline_93,東亜工業株式会社,3次,3次,False,False,False,unchanged
s2_outline_97,中村土建株式会社,3次,3次,False,False,False,unchanged
