case_id,round,company,metric_no,metric_label,company_value,applicant_median,relative_gap_below_benchmark,absolute_relative_gap_lt_1pct,absolute_relative_gap_lt_5pct,absolute_relative_gap_lt_10pct,primary_core28
s1_outline__179,1次,アサヒセイレン中部株式会社,2,全社売上高増加額,151.0,19.5,-6.743589743589744,False,False,False,False
s1_outline__200,1次,株式会社イズミテクノ,2,全社売上高増加額,25.0,19.5,-0.28205128205128205,False,False,False,False
s1_outline_40,1次,千代田鋼鉄工業株式会社,2,全社売上高増加額,57.49,19.5,-1.9482051282051283,False,False,False,False
s1_outline_45,1次,山本ビニター株式会社,2,全社売上高増加額,25.0,19.5,-0.28205128205128205,False,False,False,False
s1_outline_47,1次,ポーライト株式会社,2,全社売上高増加額,82.0,19.5,-3.2051282051282053,False,False,False,False
s1_outline_102,1次,冬木工業株式会社,2,全社売上高増加額,65.0,19.5,-2.3333333333333335,False,False,False,False
s1_outline_103,1次,オーケー化成株式会社,2,全社売上高増加額,44.7,19.5,-1.2923076923076924,False,False,False,False
s2_outline_15,3次,賀谷セロファン株式会社,2,全社売上高増加額,27.8,42.2,0.3412322274881517,False,False,False,False
s2_outline_30,3次,東洋スクリーン工業株式会社,2,全社売上高増加額,38.0,42.2,0.09952606635071096,False,False,True,False
s2_outline_83,3次,株式会社キド,2,全社売上高増加額,30.2,42.2,0.28436018957345977,False,False,False,False
s2_outline_95,3次,山崎商事運輸株式会社,2,全社売上高増加額,36.6,42.2,0.1327014218009479,False,False,False,True
s2_outline_110,3次,学校法人花沢学園,2,全社売上高増加額,14.0,42.2,0.6682464454976303,False,False,False,False
s2_outline_155,4次,信和化工株式会社,2,全社売上高増加額,9.08,38.5,0.7641558441558443,False,False,False,False
s2_outline_164,4次,株式会社東豊精工,2,全社売上高増加額,21.4,38.5,0.4441558441558442,False,False,False,False
s2_outline_192,4次,フクビ岡山株式会社,2,全社売上高増加額,35.4,38.5,0.08051948051948056,False,False,True,True
s1_outline_20,1次,エスティケイテクノロジー株式会社,2,全社売上高増加額,45.0,19.5,-1.3076923076923077,False,False,False,False
s1_outline_35,1次,イグス株式会社,2,全社売上高増加額,47.3,19.5,-1.4256410256410255,False,False,False,False
