case_id,round,company,pdf_url,industry,subsidy_oku,project_cost_oku,visible_metric_count,below_accepted_count,below_accepted_share,visible_metric_lagging,value_added_increase_proxy_oku,value_added_subsidy_ratio_proxy_pct,sales_increase_per_subsidy,payroll_increase_per_subsidy,jobs_increase_per_subsidy_oku,project_sales_increase_proxy,project_sales_cagr_proxy,project_sales_share_proxy,above_accepted_value_added_increase_proxy,above_accepted_value_added_subsidy_ratio_proxy,above_accepted_project_sales_increase_proxy,above_accepted_project_sales_cagr_proxy,above_accepted_project_sales_share_proxy,has_quantitative_compensating_proxy,unresolved_visible_lag,theme_labor_saving,theme_innovation,theme_supply_chain,theme_green,theme_regional_jobs,theme_global,theme_new_capacity,theme_market_evidence,below_accepted_company_sales_cagr,below_accepted_company_sales_increase,below_accepted_labor_cagr,below_accepted_employee_pay_rate,below_accepted_employee_pay_total_increase,below_accepted_officer_pay_rate,below_accepted_investment_sales_ratio
s1_outline_14,1次,日華化学株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_14.pdf,製造業,50.0,166.0,6,4.0,0.6666666666666666,True,17.0193,34.0386,4.0,0.060414,0.3,,,,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,1.0,0.0,1.0,1.0,0.0,,1.0
s1_outline_27,1次,株式会社クラタ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_27.pdf,製造業,6.4,19.0,6,4.0,0.6666666666666666,True,7.13962,111.5565625,5.15625,0.16520312499999998,3.125,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,,1.0,0.0,1.0,1.0,1.0,0.0
s1_outline_31,1次,鎌長製衡株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_31.pdf,製造業,4.6,16.0,6,4.0,0.6666666666666666,True,5.4345,118.14130434782611,7.391304347826088,0.4397608695652174,5.869565217391305,,,,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,1.0,1.0,1.0,0.0,1.0,0.0,
s1_outline_39,1次,株式会社ハウゼコ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_39.pdf,製造業,6.1,19.0,6,4.0,0.6666666666666666,True,7.51,123.11475409836066,3.278688524590164,0.26098360655737707,3.278688524590164,,,,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,,1.0,0.0,1.0,1.0,1.0,0.0
s1_outline_49,1次,株式会社ＡＫシステム,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_49.pdf,製造業,3.5,11.0,6,4.0,0.6666666666666666,True,3.2605,93.15714285714286,5.171428571428572,0.3648571428571428,4.285714285714286,,,,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,,1.0,1.0,1.0,1.0,0.0,0.0
s1_outline_50,1次,株式会社松尾製作所,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_50.pdf,製造業,35.0,109.0,6,4.0,0.6666666666666666,True,19.7763,56.50371428571428,5.371428571428571,0.20832285714285714,0.3142857142857143,,,,True,False,False,False,False,True,False,True,True,False,True,False,True,False,True,1.0,0.0,1.0,1.0,0.0,1.0,
s1_outline_63,1次,株式会社オティックスホールディングス,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_63.pdf,製造業,50.0,166.0,6,4.0,0.6666666666666666,True,2.3681,4.7362,1.98,0.0030259999999999996,0.0,,,,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,,0.0,1.0,1.0,1.0,1.0,0.0
s1_outline_75,1次,株式会社伝食,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_75.pdf,卸売業・小売業,11.8,40.0,6,4.0,0.6666666666666666,True,9.8289,83.29576271186441,6.83050847457627,0.13199152542372883,1.271186440677966,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,,0.0,0.0,1.0,1.0,1.0,1.0
s1_outline_78,1次,環境のミカタ株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_78.pdf,サービス業_他に分類されないもの,9.0,28.0,6,4.0,0.6666666666666666,True,8.8686,98.54000000000002,3.0555555555555554,0.08983333333333333,2.0,,,,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,0.0,1.0,0.0,1.0,1.0,1.0,
s1_outline_104,1次,ヤマダイ株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_104.pdf,製造業,11.0,34.0,6,4.0,0.6666666666666666,True,8.369,76.08181818181818,4.2727272727272725,0.1829090909090909,0.9090909090909091,,,,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,,1.0,1.0,0.0,1.0,0.0,1.0
s1_outline_116,1次,株式会社かねふくめんたいパーク,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf,製造業,1.4,12.0,6,4.0,0.6666666666666666,True,10.0602,718.5857142857143,23.857142857142858,0.9585714285714287,29.28571428571429,,,,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,,1.0,0.0,0.0,1.0,1.0,1.0
s1_outline_127,1次,株式会社ユニワールド,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf,卸売業・小売業,5.7,17.0,6,4.0,0.6666666666666666,True,9.69162,170.0284210526316,9.12280701754386,0.26566140350877193,3.1403508771929833,,,,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,,1.0,1.0,0.0,1.0,0.0,1.0
s1_outline_152,1次,ヤマトミシン製造株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_152.pdf,製造業,4.0,19.0,6,4.0,0.6666666666666666,True,7.8841,197.1025,9.25,0.410025,1.75,,,,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,,1.0,1.0,0.0,1.0,0.0,1.0
s1_outline_164,1次,株式会社福砂屋グループ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_164.pdf,卸売業・小売業,17.0,55.0,6,4.0,0.6666666666666666,True,7.2146,42.43882352941176,3.1,0.12058235294117647,0.7647058823529411,,,,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,,1.0,1.0,1.0,1.0,0.0,0.0
s2_outline_1,3次,株式会社角藤,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_1.pdf,建設業,5.3,21.0,6,4.0,0.6666666666666666,True,38.225,721.2264150943397,71.91132075471698,1.2166037735849058,5.660377358490567,244.28,,50.0,True,True,True,False,False,True,False,True,True,True,False,True,False,True,True,,0.0,1.0,1.0,0.0,1.0,1.0
s2_outline_44,3次,株式会社アヤボ,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_44.pdf,製造業,3.4,18.0,6,4.0,0.6666666666666666,True,4.0413,118.86176470588235,4.705882352941177,0.09138235294117647,1.1764705882352942,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,0.0,1.0,1.0,0.0,1.0,1.0,
s2_outline_58,3次,巴工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_58.pdf,製造業,13.0,52.0,6,4.0,0.6666666666666666,True,27.5625,212.01923076923077,19.75769230769231,0.5880538461538461,2.3846153846153846,114.59,,31.506849315068493,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,,0.0,1.0,1.0,0.0,1.0,1.0
s2_outline_68,3次,三友プラントサービス株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_68.pdf,サービス業_他に分類されないもの,19.0,64.0,6,4.0,0.6666666666666666,True,31.4358,165.4515789473684,2.9473684210526314,0.2531894736842105,1.9473684210526316,,,,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,,1.0,1.0,1.0,0.0,1.0,0.0
